사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
CU 신당공원,편의점,서울특별시 중구 다산로40길 52 1층 (신당동),201597.3359,451219.3265
CU 신당마루점,편의점,서울특별시 중구 퇴계로76길 31 1층 (무학동),201290.2735,451279.9267
CU 신도림대림점,편의점,서울특별시 구로구 신도림로 16 제2상가동 1층 105호 (신도림동 신도림대림12차아파트),189372.1911,444854.4517
CU 신도봉역점,편의점,서울특별시 도봉구 도봉로170길 30 1층 (도봉동),204086.8272,464186.3804
CU 신림4동점,편의점,서울특별시 관악구 조원로 143 1층 (신림동),192693.2116,442625.2117
CU 신림장미점,편의점,서울특별시 관악구 신림로 73 1층 (신림동),194733.5423,440919.8157
CU 신사드림점,편의점,서울특별시 강남구 압구정로4길 10 두인빌딩 지하1층 1호 (신사동),201695.9682,446639.9325
CU 신촌역점,편의점,서울특별시 서대문구 신촌로 107 1층 (창천동),194437.6319,450375.4887
CU 씨유 성동마장로점,편의점,서울특별시 성동구 마장로 258 1층 1호 (마장동 신명스카이뷰),203306.0424,451472.6407
CU 아델라 이수역점,편의점,서울특별시 동작구 동작대로23길 13 1층 (사당동),198258.4711,442440.3473
CU 암사태성점,편의점,서울특별시 강동구 올림픽로 787 태성프라자 104호 (암사동),211216.3591,449919.9804
CU 압구정거리점,편의점,서울특별시 강남구 도산대로49길 36 지상1층 (신사동),203217.022,447008.2233
CU 양재에덴동산점,편의점,서울특별시 서초구 논현로27길 47 1층 1호 (양재동),203611.1396,441926.6535
CU 양평파스텔점,편의점,서울특별시 영등포구 선유로43가길 24 상가동 1층 108 109호 (양평동3가 거성파스텔아파트),190373.6029,447700.475
CU 역삼미래점,편의점,서울특별시 강남구 테헤란로33길 32 SO근생주택빌딩 지상1층 (역삼동),203365.0924,444626.3262
CU 오류칸타빌점,편의점,서울특별시 구로구 경인로20가길 41 1층 (오류동),186318.2466,443771.5502
CU 옥수극동점,편의점,서울특별시 성동구 독서당로 187 옥수동극동아파트 상가동 지1층 001호 (옥수동),200951.2066,449000.9201
CU 율현중앙점,편의점,서울특별시 강남구 밤고개로 252 지상1층 102호 (율현동),209375.6881,441036.3506
CU 응암프로방스점,편의점,서울특별시 은평구 은평로8길 5 1층 (응암동),192948.8956,455264.9724
CU 이화여대 한우리 기숙사점,편의점,서울특별시 서대문구 이화여대길 52 이화여자대학교 지하1층 (대현동),195287.7664,451143.7893
CU 일등고대점,편의점,서울특별시 성북구 고려대로24길 56 1층 (안암동5가),202519.1386,453486.8714
CU 일원다솜점,편의점,서울특별시 강남구 양재대로43길 6 지상1층 (일원동),207481.923,443160.7248
CU 잠실 방이점,편의점,서울특별시 송파구 올림픽로32길 3 1층 (방이동),209563.3959,445948.7562
CU 잠실모범점,편의점,서울특별시 송파구 올림픽로10길 48 1층 101호 (잠실동),207141.8329,445044.2823
CU 장위1동점,편의점,서울특별시 성북구 장위로21나길 50 2층 201호 (장위동 삼성쉐르빌),203939.9988,457115.9527
CU 장한평스타힐스점,편의점,서울특별시 성동구 가람길 287 서희스타힐스리버파크 1층 101호 (용답동),206066.3112,450834.3142
CU 중랑망우점,편의점,서울특별시 중랑구 상봉로 52 1층 (망우동),208215.4684,454252.6944
CU 창경궁로점,편의점,서울특별시 중구 창경궁로 62 1층 (주교동),199775.2624,451741.9894
CU 창동에이스점,편의점,서울특별시 도봉구 노해로70길 46 주공아파트 1층 123-1호 (창동),204468.657,460879.973
CU 천호강변점,편의점,서울특별시 강동구 올림픽로77길 46 1층 (천호동),210763.9866,449038.5751
CU 페럼타워점,편의점,서울특별시 중구 을지로5길 19 FERRUM TOWER 지하1층 (수하동),198516.1892,451641.7381
CU 평창다솜점,편의점,서울특별시 종로구 평창길 8 1층 (평창동),196819.1875,455904.8183
CU 한국체대 체육과학관점,편의점,서울특별시 송파구 양재대로 1239 한국체육대학교 체육과학관 1층 (방이동),211525.9289,446381.991
CU 항동 10단지점,편의점,서울특별시 구로구 항동로 60 상가동 지하1층 B101호 (항동 하버라인 10단지),184544.6256,441937.4179
CU 홍대와우점,편의점,서울특별시 마포구 와우산로 45 1층 (상수동),193104.621,449589.6204
CU(미아센트레빌점),편의점,서울특별시 강북구 숭인로 39 (미아동),202209.7033,456713.4093
CU(불광NC점),편의점,서울특별시 은평구 통일로65길 12-8 (대조동 1층),193723.1564,456369.5301
CU(씨유) 구로중앙유통점,편의점,서울특별시 구로구 경인로 533 1층 (구로동),189082.5803,444374.2186
CU(씨유) 숭실대 원룸점,편의점,서울특별시 동작구 상도로60길 15 1층 (상도동),195883.576,443513.6522
CU(씨유) 신월사거리점,편의점,서울특별시 양천구 가로공원로 104 양전빌딩 1층 (신월동),184679.8676,448153.9504
CU(씨유)뉴화곡우리마을,편의점,서울특별시 강서구 강서로7길 107 1층 101호 (화곡동 1동 한양아이클래스),185958.5489,447412.8929
CU(씨유)성북명랑점,편의점,서울특별시 성북구 보문로34가길 51 1층 (동선동3가),201702.7105,454607.2121
CU(영등포메인),편의점,서울특별시 영등포구 영등포로 199 (영등포동6가 지상1층),191425.4404,446464.6338
CU(중랑중화점),편의점,서울특별시 중랑구 봉화산로4길 31 1층 (중화동),206670.8315,455307.7483
CU가산 디폴리스점,편의점,서울특별시 금천구 서부샛길 606 지상1층 114호 (가산동 대성디폴리스),189055.1383,441958.3344
CU가산디지털단지역점,편의점,서울특별시 금천구 가산디지털1로 186 제이플라츠 지상1층 104호 (가산동),189452.3825,442205.8675
CU가산디지털점,편의점,서울특별시 금천구 가산로 157 지상1층 (가산동),190191.1045,441876.6162
